Year,Month,Anomaly,Unc.
1864,1,-0.547,0.375
1864,2,-0.384,0.405
1864,3,-0.373,0.265
1864,4,-0.415,0.306
1864,5,-0.153,0.23
1864,6,-0.094,0.238
1864,7,-0.18,0.227
1864,8,-0.332,0.254
1864,9,-0.5,0.235
1864,10,-0.346,0.226
1864,11,-0.377,0.285
1864,12,-0.419,0.283
1865,1,0.119,0.336
1865,2,-0.279,0.296
1865,3,-0.411,0.275
1865,4,-0.387,0.302
1865,5,-0.278,0.205
1865,6,-0.26,0.249
1865,7,-0.17,0.238
1865,8,-0.186,0.256
1865,9,-0.217,0.24
1865,10,-0.206,0.235
1865,11,-0.147,0.277
1865,12,-0.453,0.376
1866,1,0.066,0.374
1866,2,-0.326,0.382
1866,3,-0.424,0.331
1866,4,-0.488,0.27
1866,5,-0.332,0.223
1866,6,-0.229,0.201
1866,7,0.135,0.243
1866,8,-0.188,0.242
1866,9,-0.281,0.247
1866,10,-0.223,0.241
1866,11,-0.024,0.239
1866,12,0.12,0.263
1867,1,-0.125,0.343
1867,2,-0.299,0.339
1867,3,-0.265,0.271
1867,4,-0.119,0.24
1867,5,-0.369,0.211
1867,6,-0.172,0.198
1867,7,-0.153,0.236
1867,8,-0.234,0.264
1867,9,-0.121,0.217
1867,10,0.039,0.254
1867,11,0.275,0.278
1867,12,-0.126,0.395
1868,1,-0.475,0.3
1868,2,-0.622,0.333
1868,3,-0.283,0.266
1868,4,-0.104,0.254
1868,5,-0.068,0.239
1868,6,-0.095,0.176
1868,7,0.085,0.215
1868,8,-0.029,0.198
1868,9,-0.233,0.198
1868,10,0.023,0.262
1868,11,-0.301,0.258
1868,12,-0.113,0.371
1869,1,-0.18,0.398
1869,2,0.065,0.316
1869,3,-0.499,0.38
1869,4,-0.24,0.216
1869,5,-0.146,0.212
1869,6,-0.157,0.324
1869,7,-0.2,0.241
1869,8,-0.156,0.269
1869,9,-0.052,0.2
1869,10,-0.189,0.268
1869,11,-0.164,0.238
1869,12,-0.38,0.326
1870,1,-0.273,0.349
1870,2,-0.458,0.449
1870,3,-0.319,0.271
1870,4,-0.248,0.213
1870,5,-0.173,0.207
1870,6,-0.068,0.164
1870,7,-0.064,0.202
1870,8,-0.259,0.185
1870,9,-0.175,0.176
1870,10,-0.303,0.215
1870,11,-0.321,0.382
1870,12,-0.561,0.31
1871,1,-0.542,0.284
1871,2,-0.598,0.316
1871,3,-0.26,0.199
1871,4,-0.064,0.179
1871,5,-0.281,0.2
1871,6,-0.223,0.177
1871,7,-0.155,0.21
1871,8,-0.19,0.193
1871,9,-0.393,0.197
1871,10,-0.244,0.183
1871,11,-0.537,0.226
1871,12,-0.388,0.217
1872,1,-0.45,0.329
1872,2,-0.407,0.284
1872,3,-0.357,0.231
1872,4,-0.37,0.213
1872,5,-0.193,0.199
1872,6,-0.273,0.184
1872,7,-0.12,0.177
1872,8,-0.043,0.201
1872,9,-0.193,0.17
1872,10,-0.207,0.187
1872,11,-0.43,0.205
1872,12,-0.486,0.265
1873,1,-0.312,0.253
1873,2,-0.084,0.228
1873,3,-0.275,0.191
1873,4,-0.466,0.205
1873,5,-0.276,0.196
1873,6,-0.209,0.187
1873,7,-0.168,0.189
1873,8,-0.141,0.18
1873,9,-0.37,0.193
1873,10,-0.24,0.186
1873,11,-0.339,0.203
1873,12,-0.228,0.204
1874,1,-0.215,0.238
1874,2,-0.269,0.214
1874,3,-0.635,0.174
1874,4,-0.361,0.179
1874,5,-0.218,0.249
1874,6,-0.317,0.2
1874,7,-0.256,0.184
1874,8,-0.169,0.202
1874,9,-0.165,0.176
1874,10,-0.313,0.182
1874,11,-0.419,0.207
1874,12,-0.304,0.226
1875,1,-0.462,0.232
1875,2,-0.364,0.228
1875,3,-0.452,0.168
1875,4,-0.38,0.164
1875,5,-0.28,0.176
1875,6,-0.278,0.183
1875,7,-0.216,0.187
1875,8,-0.248,0.21
1875,9,-0.276,0.171
1875,10,-0.186,0.17
1875,11,-0.567,0.208
1875,12,-0.456,0.201
1876,1,-0.378,0.234
1876,2,-0.272,0.194
1876,3,-0.291,0.207
1876,4,-0.274,0.169
1876,5,-0.526,0.174
1876,6,-0.328,0.146
1876,7,-0.155,0.176
1876,8,-0.294,0.207
1876,9,-0.368,0.178
1876,10,-0.267,0.169
1876,11,-0.481,0.171
1876,12,-0.566,0.186
1877,1,-0.185,0.254
1877,2,-0.087,0.187
1877,3,0.058,0.163
1877,4,-0.121,0.178
1877,5,-0.052,0.205
1877,6,-0.056,0.177
1877,7,0.143,0.172
1877,8,0.235,0.186
1877,9,0.156,0.176
1877,10,0.18,0.163
1877,11,0.21,0.21
1877,12,-0.078,0.193
1878,1,-0.005,0.241
1878,2,0.412,0.194
1878,3,0.572,0.166
1878,4,0.302,0.171
1878,5,-0.056,0.176
1878,6,0.111,0.159
1878,7,0.119,0.177
1878,8,0.085,0.205
1878,9,-0.038,0.171
1878,10,-0.079,0.164
1878,11,0.037,0.168
1878,12,-0.117,0.176
1879,1,-0.136,0.211
1879,2,-0.242,0.203
1879,3,-0.061,0.165
1879,4,-0.291,0.163
1879,5,-0.242,0.157
1879,6,-0.196,0.144
1879,7,-0.217,0.169
1879,8,-0.237,0.188
1879,9,-0.3,0.176
1879,10,-0.087,0.163
1879,11,-0.299,0.189
1879,12,-0.511,0.19
1880,1,-0.377,0.256
1880,2,-0.532,0.21
1880,3,-0.308,0.185
1880,4,-0.351,0.165
1880,5,-0.241,0.173
1880,6,-0.308,0.149
1880,7,-0.257,0.175
1880,8,-0.219,0.186
1880,9,-0.381,0.163
1880,10,-0.331,0.159
1880,11,-0.196,0.181
1880,12,-0.215,0.184
1881,1,-0.116,0.22
1881,2,-0.211,0.193
1881,3,-0.077,0.173
1881,4,-0.022,0.157
1881,5,-0.101,0.156
1881,6,-0.352,0.145
1881,7,-0.144,0.162
1881,8,-0.143,0.176
1881,9,-0.296,0.157
1881,10,-0.262,0.149
1881,11,-0.4,0.152
1881,12,-0.213,0.154
1882,1,0.096,0.177
1882,2,0.008,0.169
1882,3,-0.125,0.142
1882,4,-0.291,0.142
1882,5,-0.249,0.155
1882,6,-0.323,0.137
1882,7,-0.341,0.157
1882,8,-0.21,0.182
1882,9,-0.198,0.167
1882,10,-0.35,0.169
1882,11,-0.442,0.149
1882,12,-0.556,0.178
1883,1,-0.409,0.18
1883,2,-0.438,0.18
1883,3,-0.087,0.153
1883,4,-0.31,0.159
1883,5,-0.23,0.154
1883,6,-0.136,0.139
1883,7,-0.263,0.18
1883,8,-0.352,0.176
1883,9,-0.359,0.155
1883,10,-0.283,0.161
1883,11,-0.489,0.146
1883,12,-0.269,0.163
1884,1,-0.242,0.182
1884,2,-0.199,0.175
1884,3,-0.496,0.144
1884,4,-0.554,0.144
1884,5,-0.579,0.144
1884,6,-0.521,0.145
1884,7,-0.545,0.167
1884,8,-0.479,0.175
1884,9,-0.543,0.161
1884,10,-0.463,0.146
1884,11,-0.605,0.158
1884,12,-0.444,0.154
1885,1,-0.681,0.18
1885,2,-0.474,0.173
1885,3,-0.352,0.151
1885,4,-0.507,0.145
1885,5,-0.557,0.149
1885,6,-0.564,0.151
1885,7,-0.337,0.176
1885,8,-0.434,0.179
1885,9,-0.445,0.154
1885,10,-0.33,0.16
1885,11,-0.396,0.155
1885,12,-0.161,0.19
1886,1,-0.637,0.166
1886,2,-0.648,0.138
1886,3,-0.535,0.124
1886,4,-0.384,0.13
1886,5,-0.324,0.14
1886,6,-0.455,0.145
1886,7,-0.278,0.153
1886,8,-0.443,0.174
1886,9,-0.506,0.155
1886,10,-0.467,0.144
1886,11,-0.558,0.158
1886,12,-0.344,0.151
1887,1,-0.953,0.182
1887,2,-0.713,0.153
1887,3,-0.482,0.134
1887,4,-0.382,0.139
1887,5,-0.466,0.145
1887,6,-0.488,0.149
1887,7,-0.341,0.168
1887,8,-0.539,0.175
1887,9,-0.4,0.152
1887,10,-0.417,0.157
1887,11,-0.406,0.14
1887,12,-0.409,0.143
1888,1,-0.358,0.155
1888,2,-0.523,0.153
1888,3,-0.445,0.13
1888,4,-0.376,0.137
1888,5,-0.345,0.161
1888,6,-0.314,0.137
1888,7,-0.236,0.17
1888,8,-0.271,0.165
1888,9,-0.295,0.158
1888,10,-0.084,0.157
1888,11,-0.158,0.158
1888,12,-0.115,0.157
1889,1,-0.12,0.155
1889,2,0.23,0.148
1889,3,0.047,0.134
1889,4,0.072,0.149
1889,5,-0.148,0.154
1889,6,-0.193,0.14
1889,7,-0.148,0.173
1889,8,-0.28,0.178
1889,9,-0.365,0.156
1889,10,-0.302,0.158
1889,11,-0.494,0.155
1889,12,-0.332,0.157
1890,1,-0.455,0.141
1890,2,-0.437,0.147
1890,3,-0.562,0.127
1890,4,-0.407,0.139
1890,5,-0.493,0.149
1890,6,-0.471,0.136
1890,7,-0.431,0.17
1890,8,-0.466,0.172
1890,9,-0.467,0.148
1890,10,-0.3,0.142
1890,11,-0.678,0.157
1890,12,-0.379,0.169
1891,1,-0.49,0.173
1891,2,-0.6,0.152
1891,3,-0.228,0.136
1891,4,-0.356,0.154
1891,5,-0.262,0.151
1891,6,-0.36,0.158
1891,7,-0.323,0.166
1891,8,-0.28,0.169
1891,9,-0.264,0.151
1891,10,-0.34,0.137
1891,11,-0.5,0.142
1891,12,-0.11,0.138
1892,1,-0.28,0.148
1892,2,-0.179,0.129
1892,3,-0.433,0.141
1892,4,-0.475,0.136
1892,5,-0.392,0.151
1892,6,-0.279,0.169
1892,7,-0.453,0.163
1892,8,-0.438,0.171
1892,9,-0.4,0.147
1892,10,-0.268,0.14
1892,11,-0.757,0.133
1892,12,-0.501,0.148
1893,1,-0.902,0.142
1893,2,-0.622,0.137
1893,3,-0.288,0.129
1893,4,-0.358,0.133
1893,5,-0.387,0.156
1893,6,-0.3,0.153
1893,7,-0.167,0.164
1893,8,-0.267,0.171
1893,9,-0.352,0.143
1893,10,-0.227,0.128
1893,11,-0.335,0.128
1893,12,-0.404,0.149
1894,1,-0.542,0.14
1894,2,-0.427,0.146
1894,3,-0.329,0.119
1894,4,-0.515,0.14
1894,5,-0.391,0.146
1894,6,-0.456,0.155
1894,7,-0.268,0.171
1894,8,-0.268,0.168
1894,9,-0.34,0.146
1894,10,-0.223,0.149
1894,11,-0.411,0.147
1894,12,-0.313,0.135
1895,1,-0.455,0.144
1895,2,-0.45,0.129
1895,3,-0.411,0.121
1895,4,-0.277,0.135
1895,5,-0.323,0.157
1895,6,-0.28,0.143
1895,7,-0.209,0.18
1895,8,-0.291,0.169
1895,9,-0.332,0.153
1895,10,-0.217,0.146
1895,11,-0.191,0.136
1895,12,-0.179,0.13
1896,1,-0.216,0.133
1896,2,-0.266,0.122
1896,3,-0.451,0.134
1896,4,-0.443,0.142
1896,5,-0.276,0.153
1896,6,-0.141,0.152
1896,7,-0.104,0.165
1896,8,-0.1,0.178
1896,9,-0.182,0.159
1896,10,-0.037,0.138
1896,11,-0.269,0.136
1896,12,-0.088,0.126
1897,1,-0.167,0.128
1897,2,-0.271,0.13
1897,3,-0.283,0.124
1897,4,-0.057,0.134
1897,5,-0.014,0.15
1897,6,-0.168,0.158
1897,7,-0.186,0.175
1897,8,-0.206,0.181
1897,9,-0.248,0.152
1897,10,-0.201,0.143
1897,11,-0.318,0.163
1897,12,-0.24,0.127
1898,1,-0.16,0.156
1898,2,-0.494,0.127
1898,3,-0.623,0.126
1898,4,-0.399,0.146
1898,5,-0.427,0.143
1898,6,-0.233,0.132
1898,7,-0.346,0.164
1898,8,-0.365,0.179
1898,9,-0.401,0.147
1898,10,-0.479,0.132
1898,11,-0.549,0.127
1898,12,-0.397,0.138
1899,1,-0.205,0.133
1899,2,-0.481,0.125
1899,3,-0.426,0.123
1899,4,-0.208,0.142
1899,5,-0.21,0.146
1899,6,-0.372,0.139
1899,7,-0.273,0.171
1899,8,-0.165,0.182
1899,9,-0.115,0.147
1899,10,-0.081,0.134
1899,11,0.012,0.122
1899,12,-0.267,0.124
1900,1,-0.41,0.135
1900,2,-0.006,0.136
1900,3,0.046,0.114
1900,4,-0.116,0.134
1900,5,-0.073,0.14
1900,6,-0.154,0.142
1900,7,-0.185,0.161
1900,8,-0.175,0.174
1900,9,-0.139,0.155
1900,10,0.04,0.134
1900,11,-0.211,0.123
1900,12,-0.119,0.126
1901,1,-0.276,0.125
1901,2,-0.081,0.14
1901,3,-0.014,0.117
1901,4,-0.036,0.133
1901,5,-0.17,0.145
1901,6,-0.234,0.132
1901,7,-0.267,0.163
1901,8,-0.198,0.168
1901,9,-0.287,0.146
1901,10,-0.289,0.131
1901,11,-0.298,0.128
1901,12,-0.242,0.13
1902,1,-0.278,0.122
1902,2,-0.072,0.114
1902,3,-0.386,0.112
1902,4,-0.325,0.126
1902,5,-0.388,0.14
1902,6,-0.359,0.142
1902,7,-0.319,0.167
1902,8,-0.354,0.173
1902,9,-0.381,0.155
1902,10,-0.424,0.133
1902,11,-0.558,0.126
1902,12,-0.502,0.123
1903,1,-0.254,0.127
1903,2,-0.156,0.123
1903,3,-0.3,0.119
1903,4,-0.499,0.138
1903,5,-0.469,0.15
1903,6,-0.558,0.142
1903,7,-0.47,0.168
1903,8,-0.57,0.173
1903,9,-0.625,0.143
1903,10,-0.562,0.125
1903,11,-0.558,0.12
1903,12,-0.52,0.127
1904,1,-0.655,0.126
1904,2,-0.665,0.129
1904,3,-0.502,0.113
1904,4,-0.547,0.134
1904,5,-0.553,0.144
1904,6,-0.523,0.133
1904,7,-0.545,0.164
1904,8,-0.515,0.176
1904,9,-0.617,0.144
1904,10,-0.496,0.144
1904,11,-0.282,0.115
1904,12,-0.331,0.117
1905,1,-0.34,0.125
1905,2,-0.612,0.116
1905,3,-0.309,0.112
1905,4,-0.376,0.128
1905,5,-0.302,0.138
1905,6,-0.338,0.134
1905,7,-0.365,0.169
1905,8,-0.284,0.167
1905,9,-0.351,0.146
1905,10,-0.312,0.134
1905,11,-0.187,0.113
1905,12,-0.267,0.114
1906,1,-0.338,0.121
1906,2,-0.321,0.116
1906,3,-0.116,0.122
1906,4,-0.036,0.131
1906,5,-0.289,0.142
1906,6,-0.257,0.143
1906,7,-0.335,0.163
1906,8,-0.281,0.173
1906,9,-0.34,0.144
1906,10,-0.178,0.139
1906,11,-0.395,0.137
1906,12,-0.145,0.144
1907,1,-0.406,0.113
1907,2,-0.551,0.12
1907,3,-0.277,0.115
1907,4,-0.344,0.124
1907,5,-0.518,0.142
1907,6,-0.481,0.129
1907,7,-0.422,0.161
1907,8,-0.431,0.169
1907,9,-0.409,0.14
1907,10,-0.234,0.133
1907,11,-0.543,0.126
1907,12,-0.454,0.111
1908,1,-0.412,0.124
1908,2,-0.27,0.13
1908,3,-0.591,0.116
1908,4,-0.479,0.129
1908,5,-0.299,0.152
1908,6,-0.332,0.124
1908,7,-0.362,0.162
1908,8,-0.484,0.164
1908,9,-0.369,0.137
1908,10,-0.479,0.119
1908,11,-0.664,0.11
1908,12,-0.56,0.108
1909,1,-0.766,0.129
1909,2,-0.482,0.121
1909,3,-0.568,0.109
1909,4,-0.559,0.123
1909,5,-0.521,0.131
1909,6,-0.491,0.124
1909,7,-0.52,0.161
1909,8,-0.354,0.162
1909,9,-0.482,0.136
1909,10,-0.454,0.121
1909,11,-0.414,0.121
1909,12,-0.484,0.122
1910,1,-0.379,0.103
1910,2,-0.464,0.112
1910,3,-0.533,0.111
1910,4,-0.439,0.128
1910,5,-0.356,0.133
1910,6,-0.42,0.131
1910,7,-0.425,0.159
1910,8,-0.411,0.163
1910,9,-0.437,0.132
1910,10,-0.391,0.116
1910,11,-0.625,0.117
1910,12,-0.729,0.122
1911,1,-0.67,0.106
1911,2,-0.638,0.101
1911,3,-0.611,0.103
1911,4,-0.495,0.118
1911,5,-0.533,0.134
1911,6,-0.501,0.122
1911,7,-0.49,0.156
1911,8,-0.472,0.159
1911,9,-0.495,0.138
1911,10,-0.256,0.112
1911,11,-0.315,0.107
1911,12,-0.268,0.11
1912,1,-0.222,0.104
1912,2,-0.213,0.11
1912,3,-0.434,0.102
1912,4,-0.168,0.118
1912,5,-0.25,0.131
1912,6,-0.224,0.116
1912,7,-0.516,0.155
1912,8,-0.589,0.165
1912,9,-0.667,0.138
1912,10,-0.646,0.113
1912,11,-0.491,0.107
1912,12,-0.493,0.106
1913,1,-0.528,0.113
1913,2,-0.495,0.104
1913,3,-0.448,0.094
1913,4,-0.345,0.117
1913,5,-0.415,0.132
1913,6,-0.483,0.138
1913,7,-0.429,0.176
1913,8,-0.357,0.173
1913,9,-0.42,0.138
1913,10,-0.354,0.114
1913,11,-0.303,0.109
1913,12,0,0.101
1914,1,0.002,0.102
1914,2,-0.241,0.106
1914,3,-0.331,0.104
1914,4,-0.315,0.118
1914,5,-0.215,0.141
1914,6,-0.239,0.121
1914,7,-0.304,0.157
1914,8,-0.216,0.164
1914,9,-0.27,0.143
1914,10,-0.021,0.122
1914,11,-0.18,0.112
1914,12,-0.026,0.116
1915,1,-0.23,0.111
1915,2,-0.124,0.111
1915,3,-0.022,0.108
1915,4,0.086,0.12
1915,5,0.008,0.138
1915,6,-0.199,0.126
1915,7,-0.211,0.168
1915,8,-0.127,0.171
1915,9,-0.22,0.137
1915,10,-0.293,0.114
1915,11,-0.131,0.112
1915,12,-0.263,0.111
1916,1,-0.176,0.108
1916,2,-0.169,0.112
1916,3,-0.269,0.106
1916,4,-0.332,0.119
1916,5,-0.337,0.138
1916,6,-0.392,0.129
1916,7,-0.364,0.167
1916,8,-0.368,0.167
1916,9,-0.405,0.142
1916,10,-0.394,0.124
1916,11,-0.521,0.123
1916,12,-0.797,0.114
1917,1,-0.665,0.119
1917,2,-0.658,0.116
1917,3,-0.681,0.127
1917,4,-0.523,0.125
1917,5,-0.587,0.141
1917,6,-0.506,0.133
1917,7,-0.304,0.172
1917,8,-0.329,0.171
1917,9,-0.378,0.146
1917,10,-0.509,0.128
1917,11,-0.48,0.117
1917,12,-0.725,0.119
1918,1,-0.518,0.121
1918,2,-0.511,0.113
1918,3,-0.41,0.115
1918,4,-0.511,0.124
1918,5,-0.479,0.135
1918,6,-0.385,0.126
1918,7,-0.369,0.168
1918,8,-0.4,0.167
1918,9,-0.221,0.139
1918,10,-0.038,0.125
1918,11,-0.198,0.118
1918,12,-0.28,0.128
1919,1,-0.193,0.129
1919,2,-0.217,0.118
1919,3,-0.266,0.108
1919,4,-0.106,0.124
1919,5,-0.235,0.142
1919,6,-0.331,0.129
1919,7,-0.329,0.167
1919,8,-0.29,0.178
1919,9,-0.36,0.146
1919,10,-0.281,0.123
1919,11,-0.556,0.116
1919,12,-0.4,0.114
1920,1,-0.162,0.113
1920,2,-0.323,0.129
1920,3,-0.085,0.105
1920,4,-0.17,0.126
1920,5,-0.241,0.143
1920,6,-0.258,0.126
1920,7,-0.268,0.163
1920,8,-0.25,0.167
1920,9,-0.214,0.136
1920,10,-0.143,0.121
1920,11,-0.277,0.111
1920,12,-0.472,0.113
1921,1,-0.109,0.109
1921,2,-0.191,0.109
1921,3,-0.285,0.113
1921,4,-0.269,0.127
1921,5,-0.302,0.138
1921,6,-0.148,0.138
1921,7,-0.149,0.16
1921,8,-0.281,0.166
1921,9,-0.17,0.136
1921,10,-0.04,0.123
1921,11,-0.129,0.112
1921,12,-0.102,0.113
1922,1,-0.273,0.113
1922,2,-0.392,0.106
1922,3,-0.124,0.102
1922,4,-0.112,0.122
1922,5,-0.361,0.136
1922,6,-0.265,0.122
1922,7,-0.227,0.158
1922,8,-0.367,0.161
1922,9,-0.372,0.138
1922,10,-0.349,0.117
1922,11,-0.247,0.108
1922,12,-0.154,0.104
1923,1,-0.282,0.104
1923,2,-0.392,0.1
1923,3,-0.362,0.119
1923,4,-0.276,0.123
1923,5,-0.286,0.137
1923,6,-0.22,0.126
1923,7,-0.374,0.161
1923,8,-0.325,0.166
1923,9,-0.347,0.14
1923,10,-0.034,0.121
1923,11,0.04,0.111
1923,12,0.029,0.119
1924,1,-0.246,0.118
1924,2,-0.234,0.117
1924,3,-0.049,0.1
1924,4,-0.254,0.123
1924,5,-0.149,0.133
1924,6,-0.231,0.125
1924,7,-0.255,0.16
1924,8,-0.312,0.167
1924,9,-0.334,0.147
1924,10,-0.32,0.128
1924,11,-0.207,0.115
1924,12,-0.334,0.115
1925,1,-0.406,0.116
1925,2,-0.449,0.11
1925,3,-0.253,0.103
1925,4,-0.233,0.126
1925,5,-0.166,0.143
1925,6,-0.27,0.13
1925,7,-0.289,0.16
1925,8,-0.161,0.165
1925,9,-0.214,0.139
1925,10,-0.148,0.119
1925,11,-0.018,0.108
1925,12,0.176,0.115
1926,1,0.238,0.106
1926,2,-0.004,0.098
1926,3,0.134,0.1
1926,4,-0.073,0.128
1926,5,-0.195,0.14
1926,6,-0.202,0.127
1926,7,-0.229,0.161
1926,8,-0.118,0.17
1926,9,-0.113,0.144
1926,10,0.019,0.119
1926,11,-0.048,0.11
1926,12,-0.21,0.109
1927,1,-0.236,0.107
1927,2,-0.167,0.098
1927,3,-0.377,0.107
1927,4,-0.242,0.122
1927,5,-0.174,0.134
1927,6,-0.264,0.123
1927,7,-0.205,0.157
1927,8,-0.178,0.163
1927,9,-0.121,0.135
1927,10,0.067,0.115
1927,11,-0.058,0.111
1927,12,-0.252,0.108
1928,1,0.115,0.105
1928,2,-0.018,0.107
1928,3,-0.2,0.105
1928,4,-0.186,0.125
1928,5,-0.293,0.135
1928,6,-0.379,0.125
1928,7,-0.202,0.159
1928,8,-0.233,0.162
1928,9,-0.266,0.132
1928,10,-0.143,0.114
1928,11,-0.134,0.111
1928,12,-0.142,0.106
1929,1,-0.405,0.11
1929,2,-0.524,0.107
1929,3,-0.39,0.104
1929,4,-0.364,0.122
1929,5,-0.425,0.13
1929,6,-0.429,0.123
1929,7,-0.441,0.158
1929,8,-0.292,0.165
1929,9,-0.266,0.136
1929,10,-0.129,0.114
1929,11,-0.138,0.107
1929,12,-0.487,0.109
1930,1,-0.214,0.103
1930,2,-0.272,0.108
1930,3,-0.102,0.103
1930,4,-0.19,0.125
1930,5,-0.21,0.133
1930,6,-0.233,0.132
1930,7,-0.146,0.157
1930,8,-0.119,0.166
1930,9,-0.129,0.137
1930,10,-0.058,0.12
1930,11,0.13,0.113
1930,12,0.003,0.116
1931,1,-0.092,0.102
1931,2,-0.212,0.106
1931,3,-0.073,0.099
1931,4,-0.154,0.129
1931,5,-0.188,0.138
1931,6,-0.054,0.121
1931,7,-0.012,0.158
1931,8,-0.01,0.166
1931,9,-0.049,0.138
1931,10,0.086,0.117
1931,11,-0.032,0.112
1931,12,0.012,0.105
1932,1,0.117,0.102
1932,2,-0.164,0.099
1932,3,-0.094,0.101
1932,4,0.054,0.119
1932,5,-0.061,0.135
1932,6,-0.221,0.126
1932,7,-0.175,0.159
1932,8,-0.202,0.167
1932,9,-0.011,0.136
1932,10,-0.037,0.114
1932,11,-0.304,0.119
1932,12,-0.172,0.106
1933,1,-0.24,0.112
1933,2,-0.269,0.1
1933,3,-0.305,0.097
1933,4,-0.269,0.124
1933,5,-0.298,0.131
